dialog_ids,conversation,label
1,like i said,1
2,"now you think i'm gay. no, i'm not gay",1
3,now i have to like it here,2
4,yes no other reason? just a favor for an old professor?,2
5,"if he doesn't respond to these tests in the next 5 hours, what? we're supposed to just stand here and watch him die? if he doesn't respond to these tests, it's because he's already dead technically. legally",2
6,"without i.d., you can't contact the family without the family, you can't get consent to harvest the organs let the poor man die in peace",2
7,"mr. humphrey, i'm sorry to wake you i'm sorry. i just need to do a brief exam",2
8,not exactly no but,1
9,"means i have it all the time i know what ""chronic"" means what kind of pain are you having?",3
10,"right, okay, um, how long do you think...? i mean, just technically, i'm off at 6:00",3
11,good for you but if you think i'm gonna stand back and watch while you favor her,2
12,"seriously? you're equating your pathetic love life with my record-breaking tumor? seriously? it's just that he blatantly favors me in front of her, and then blatantly dismisses me",3
13,"botched abortion? oh, she's a minor. - 17. freshman in college",3
14,what do you mean? she has what looks like an abscess under her diaphragm,2
15,"the 16th, george. can you cover me or not? it's none of your business a ""thank you"" would be nice",2
16,see? this. the guy's films are clear there's no reason i can see for his creeping paralysis it's just so surprising,3
17,"uh, i gotta go",1
18,olivia! i need to tell you something what's wrong?,3
19,"burke. you gave grey to addison. are you sure about that? that's not your call, shepherd. and for the record, i'm always sure",2
20,"what do you want? - what? what do you want? you don't want to go out to dinner you don't want to meet me in the on-call room, and you don't want to talk to me i could pretend i know, but i don't have your home phone number",3
21,oh... uh fun. - at least your patient's still alive ok. stop. ok? that's it,2
22,it's the chief. i got to take this you have to call it. - call it? him. - oh. um,2
23,"oh, yeah. if this were a hell dimension  run away, pig boy. - do you have a thing for alex? i don't",3
24,what kind of person wishes their mother had cancer? it's hard i know it's hard being the one who's gone,3
25,"lighten up, please ok, i was thinking that maybe we might want to... you might",3
26,"you think this has something to do with you? you think i'm even thinking about your romantic problems? i'm trying to help a patient very near and dear to my heart and if consulting with your wife, your ex, your mistress,",3
27,missing something? missing what? - one of her souls,2
28,"you left thatcher, ellis, but i couldn't bring myself to leave adele do you remember?",3
29,"ok, that came out wrong you're the only attending neurosurgeon, you're needed elsewhere. i'm fine here dr. shepherd? ok. page me if you need me",2
30,"time of death, 2:51  no, no, no, no",3
31,what's so special? - wait for it i'm not nuts. i'm just pregnant,2
32,"if i had the chance to lose the urine bag on my ankle, i wouldn't hesitate then again i don't let my mommy do all my talking for me i don't like you. - yes, you do",1
33,you guys love each other is that what you said about you and addy? what?,3
34,he died i think you can't wait for someone to fly underneath you and save your life,2
35,i don't want to pick a car he doesn't know jack about cars i know plenty. i just don't want to pick one,1
36,"but we have this one day,",1
37,"uh... i gotta go and when i get back, you won't be here. so, um... goodbye, steve",1
38,heart surgery? - yes,3
39,"and then he sleeps with olivia instead of me. olivia hey, i slept with olivia. - well, then you both have bad taste",2
40,you didn't do anything dr. stevens. - we barely started,3
41,are her ankles swollen? is that why she's waddling? what do you think happens when people push babies out their vaginas?,2
42," i'm a 55-year-old man, i'm nauseous, and i'm throwing up i didn't ask for any help ok, evil spawn, you can nurse your pride, key word being ""nurse"", or you can pass your test and be a doctor. up to you",2
43,"nah, i don't sleep in hospitals. i'm scared i'll never wake up i'll hold my breath which will stop my heart, killing me",2
44,so it's bad? you have time. - liar,2
45,can't you give her a stronger dose of that drug? it worked did the hiccups come back?,2
46,"but... some other service? - i'm the chief, o'malley i can't condone turfing patients onto other services you hear me, o'malley?  i'm missing my program, lrish",3
47,this place is going to hell. we need the real nurses we need 40 nurses to relieve the overtime that they're striking about,2
48,"if you wait long enough, it passes waiting for it to pass. - for what to pass? do you want to do charts later? - never gonna happen what?",2
49,"not ok? well? i need one of you to tell me what this means exactly because i think i know what it means,",2
50,"i'm sorry. every day? yes, every day",1
51,"baby trumps husband? i'm sorry? - just in case something happens you know, to have them. i have all of ours right here i've got, you know, i've got my dress and the band",3
52,"dr. bailey? - what is it, yang? uh... he's crying what? - let me hear the baby cry",3
53,"well, of course it is. i mean, you don't puke blood if it's not serious the question is: can you treat it? maybe. surgically",2
54,"i want as much time as you can give me, you understand?",1
55,scar tissue has formed around the pacemaker,1
56,this thing with us is finished. it's over finally,3
57,"denny's getting sicker denny's getting worse by the second. his, uh, sats are in the eighties",2
58,"no. the whole point is to keep my heart beating it's adenosine! - uh, his heart is speeding up! guys! we have to do something! he cannot take this for much longer",3
59,i'm losing... i'm losing track of time,2
60,"panties that are yours, and how they ended up on the bulletin board black lacy panties on the board",1
61,"""oh, you funny vet. """,1
62,"because his face, it was a nice face you're a good friend. - you're so high right now",3
63,burke. how did...? - but i couldn't i... i don't know what i'm going to do,2
64,i have a mother at 35 weeks with twins. where is her ob?,1
65,but i guess if you really want to,1
66,"you don't have to do that. - it's ok. i don't mind i was going to go with jerry, until he went all 1957 bel air callie, i'm serious. i can handle my family on my own",1
67,"the rules? what if sloan finds out? are you sure about this? - oh, yeah. he's sure",2
68,when's the knitting start? shut up. good things come to those who wait,3
69,"panties. - callie, what are you up to? i'm going to kick meredith's ass. - get off! i was discreet. i was a good friend and didn't have to be and then you go and do this?",3
70,"i want my wife back and i passed the torch to you! i passed the torch to you and you blew it out! look, i know i let you down",3
71,bone dry cappuccino. - at least something's dry does it ever stop raining? - not really,2
72,no. excuse me that sucks. - yeah,2
73,not that we're friends or anything so you said i should be concerned,1
74,"you're being ridiculous. - i am not ok. it's going to be fine. - just be careful. she has ways hey, george. are you ok? - yeah",2
75,daddy! daddy!,1
76,i know people die people die in front of us every day i believe that it's been a hell of a year,2
77,"ok? i'm coping. so, uh, shut up and look at all my crap! you're in charge of my interns. put them to work anywhere but here",2
78,"so, she's rich. - just shut up about it do you think that's possible? if you give me the ""people is what matters"" thing again, i will kill you",2
79,it's my foot it hurts like crazy,1
80,"every day we wait, she gets sicker",2
81,"good to know. she's communicating just when i need time to think, she suddenly starts communicating",2
82,are you... actually asking me to be... - be one of my bridesmaids. yeah,1
83,"what's wrong with you that you can't be this good with someone you have feelings for? what happened to you, alex?",2
84,because he was dead i'm sorry,3
85,only lonnie's insisting we go down the mountain he started freaking out. keeps saying down's the way to go we're falling. i swing out with my ax... just trying to catch a rock,2
